의류수거함,위치
남현동-4,서울특별시 관악구 남부순환로256나길 7
남현동-5,서울특별시 관악구 남부순환로256다길 17
남현동-6,서울특별시 관악구 남부순환로256다길 5
남현동-7,서울특별시 관악구 남부순환로256라길 16
남현동-8,서울특별시 관악구 남부순환로256라길 26
남현동-9,서울특별시 관악구 남부순환로260길 27
남현동-10,서울특별시 관악구 남부순환로260길 36
남현동-11,서울특별시 관악구 남부순환로260길 43 우
남현동-12,서울특별시 관악구 남부순환로260길 43 좌
남현동-13,서울특별시 관악구 남부순환로260길 72
남현동-14,서울특별시 관악구 남부순환로260길 99 아래
남현동-15,서울특별시 관악구 남부순환로260길 99 위
남현동-16,서울특별시 관악구 남부순환로262길 24
남현동-17,서울특별시 관악구 남부순환로272길 55
남현동-18,서울특별시 관악구 남부순환로272길 23
남현동-19,서울특별시 관악구 남부순환로272길 28
남현동-20,서울특별시 관악구 남현12길 18
남현동-21,서울특별시 관악구 남현1가길 12-8
남현동-22,서울특별시 관악구 남현1가길 4
남현동-23,서울특별시 관악구 남현1가길 42-5
남현동-24,서울특별시 관악구 남현2길 93
남현동-25,서울특별시 관악구 남현3길 9
남현동-26,서울특별시 관악구 남현7길 20
남현동-27,서울특별시 관악구 남현7길 32
남현동-28,서울특별시 관악구 남현7길 46
남현동-29,서울특별시 관악구 남현길 42
남현동-30,서울특별시 관악구 남현길 64
남현동-31,서울특별시 관악구 남현길 79
남현동-32,서울특별시 관악구 승방10길 11-1
남현동-33,서울특별시 관악구 승방10길 19
남현동-34,서울특별시 관악구 승방1길 35
남현동-35,서울특별시 관악구 승방1길 40
남현동-36,서울특별시 관악구 승방1길 57
남현동-37,서울특별시 관악구 승방1길 73
남현동-38,서울특별시 관악구 승방1길 83
남현동-39,서울특별시 관악구 승방3가길 10
남현동-40,서울특별시 관악구 승방3가길 19
남현동-41,서울특별시 관악구 승방3가길 28
남현동-42,서울특별시 관악구 승방3가길 58
남현동-43,서울특별시 관악구 승방3가길 6
남현동-44,서울특별시 관악구 승방3나길 8
남현동-45,서울특별시 관악구 승방6길 18
남현동-46,서울특별시 관악구 승방6길 27
남현동-47,서울특별시 관악구 승방6길 6
남현동-48,서울특별시 관악구 승방6길 9
남현동-49,서울특별시 관악구 승방7길 1
남현동-50,서울특별시 관악구 승방9길 16
남현동-51,서울특별시 관악구 승방길 100
남현동-52,서울특별시 관악구 승방길 22 뒤
남현동-53,서울특별시 관악구 승방길 22 앞
남현동-54,서울특별시 관악구 승방길 22 옆
남현동-55,서울특별시 관악구 승방길 33
남현동-56,서울특별시 관악구 승방길 36
남현동-57,서울특별시 관악구 승방길 6
남현동-58,서울특별시 관악구 승방길 65
남현동-59,서울특별시 관악구 승방길 74
남현동-60,서울특별시 관악구 승방길 77
남현동-61,서울특별시 관악구 승방길 86
남현동-62,서울특별시 관악구 승방길 89
대학동-1,서울특별시 관악구 대학5길 29
대학동-2,서울특별시 관악구 대학5길 41
대학동-3,서울특별시 관악구 대학길 141
대학동-4,서울특별시 관악구 대학길 161
대학동-5,서울특별시 관악구 대학길 58-6
대학동-6,서울특별시 관악구 신림로11가길 28
대학동-7,서울특별시 관악구 신림로11길 121
대학동-8,서울특별시 관악구 신림로11길 125 앞
대학동-9,서울특별시 관악구 신림로11길 140-6
대학동-10,서울특별시 관악구 신림로11길 144
대학동-11,서울특별시 관악구 신림로11길 35
대학동-12,서울특별시 관악구 신림로15길 56
대학동-13,서울특별시 관악구 신림로17길 15
대학동-14,서울특별시 관악구 신림로19길 25 앞
