자치구,안심 주소,CCTV 용도,위도,경도,CCTV 수량,수정 일시,,
관악구,DA065 4-4S 난향동 675-312,방범,37.46079659,126.9153654,1,2021-09-08,,
관악구,A2033 1-1R 관악산공원 야외식물원,방범,37.4609092,126.9481996,1,2021-09-08,,
관악구,D2039 4-4S 삼성동 316-129,방범,37.46091094,126.9323365,1,2021-09-08,,
관악구,D2039 1-4R 삼성동 316-129,방범,37.46100702,126.9322949,1,2021-09-08,,
관악구,D2039 2-4S 삼성동 316-129,방범,37.46104599,126.9324283,1,2021-09-08,,
관악구,D2039 3-4S 삼성동 316-129,방범,37.46112812,126.9322387,1,2021-09-08,,
관악구,DC014 2-5S 난향동 1735-1,방범,37.46112847,126.9223226,1,2021-09-08,,
관악구,DC014 5-5S 난향동 1735-1,방범,37.46113015,126.9221577,1,2021-09-08,,
관악구,DC014 1-5R 난향동 1735-1,방범,37.46118385,126.9222496,1,2021-09-08,,
관악구,AE004 1-1R 삼성동 1714(녹지연결로#01),방범,37.46121816,126.924875,1,2021-09-08,,
관악구,AD037 1-1R 삼성동 산 83, 등산로길,방범,37.46122913,126.9294463,1,2021-09-08,
관악구,DC014 3-5S 난향동 1735-1,방범,37.46123743,126.9221655,1,2021-09-08,,
관악구,DC014 4-5S 난향동 1735-1,방범,37.46123934,126.922346,1,2021-09-08,,
관악구,AE005 1-1R 삼성동 1714(녹지연결로#02),방범,37.46136106,126.924922,1,2021-09-08,,
관악구,DB053 4-4S 난향동 675-260,방범,37.46154474,126.9149953,1,2021-09-08,,
관악구,P1068 1-1R 삼성동 320와 321-9,방범,37.46155392,126.9302732,1,2021-09-08,,
관악구,DB053 2-4S 난향동 675-260,방범,37.46160966,126.9151052,1,2021-09-08,,
관악구,DB053 1-4R 난향동 675-260,방범,37.4616289,126.915014,1,2021-09-08,,
관악구,DA079 1-1R 삼성동 산69-18,방범,37.46164535,126.9326546,1,2021-09-08,,
관악구,S0033 2-3UC 신우초교(삼성동 316-4),방범,37.46168015,126.9319671,1,2021-09-08,,
관악구,DB053 3-4S 난향동 675-260,방범,37.4617145,126.9150274,1,2021-09-08,,
관악구,C2012 3-3S 난향동 673-46,방범,37.46174883,126.9161328,1,2021-09-08,,
관악구,S0033 1-3RXC 신우초교(삼성동 316-4),방범,37.46175255,126.9319547,1,2021-09-08,,
관악구,C2012 1-3R 난향동 673-46,방범,37.46178249,126.916206,1,2021-09-08,,
관악구,S0033 3-3UC 신우초교(삼성동 316-4),방범,37.46182139,126.9319479,1,2021-09-08,,
관악구,A2032 1-1R 관악산공원 피크닉숲,방범,37.46182823,126.9482505,1,2021-09-08,,
관악구,C2012 2-3S 난향동 673-46,방범,37.4618352,126.9162434,1,2021-09-08,,
관악구,CB013 3-5SC 삼성동 산69-32, 신우단설유치원,방범,37.46184008,126.9318077,1,2021-09-08,
관악구,AB007 1-1R 해바라기어린이공원 (삼성동 321-5),방범,37.46195671,126.9303319,1,2021-09-08,,
관악구,CB013 2-5S 삼성동 산69-32, 신우단설유치원,방범,37.4620207,126.9318793,1,2021-09-08,
관악구,CB013 1-5R 삼성동 산69-32, 신우단설유치원,방범,37.46202243,126.9317806,1,2021-09-08,
관악구,C2004 2-3U 난향동 1736-10,방범,37.46206528,126.9190625,1,2021-09-08,,
관악구,CB013 5-5SC 삼성동 산69-32, 신우단설유치원,방범,37.46207603,126.931702,1,2021-09-08,
관악구,AF018 1-1R 대학동 산 61-1 (보덕사 앞),방범,37.46209445,126.9387491,1,2021-09-08,,
관악구,CB013 4-5SC 삼성동 산69-32, 신우단설유치원,방범,37.46209932,126.9317828,1,2021-09-08,
관악구,C2004 1-3R 난향동 1736-10,방범,37.46214932,126.9190691,1,2021-09-08,,
관악구,AF006 1-1R 대학동 205-1 일대(관악산 모험숲),방범,37.46221454,126.9485194,1,2021-09-08,,
관악구,C2004 3-3U 난향동 1736-10,방범,37.46226911,126.9190712,1,2021-09-08,,
관악구,JA019 3-5U 난향동 673-44,방범,37.46227525,126.9163041,1,2021-09-08,,
관악구,JA019 5-5UC 난향동 673-44,방범,37.46227907,126.9163615,1,2021-09-08,,
관악구,AF003 1-1R 대학동 205-1 일대(관악산 모험숲),방범,37.46230362,126.9477881,1,2021-09-08,,
관악구,JA019 1-5R 난향동 673-44,방범,37.46230408,126.9163331,1,2021-09-08,,
관악구,JA019 4-5UC 난향동 673-44,방범,37.46232626,126.9163087,1,2021-09-08,,
관악구,JA019 2-5U 난향동 673-44,방범,37.46233056,126.9163787,1,2021-09-08,,
관악구,DA010 2-4S 삼성동 320-14,방범,37.46253773,126.9306056,1,2021-09-08,,
관악구,DA010 4-4S 삼성동 320-14,방범,37.46260265,126.9307395,1,2021-09-08,,
관악구,DA010 1-4R 삼성동 320-14,방범,37.46262094,126.9306214,1,2021-09-08,,
관악구,S0009 2-4SC 난향초교(난향동 672와 673-15),방범,37.46266175,126.9176188,1,2021-09-08,,
관악구,DG049 2-2S 난향동 675-218,방범,37.4626868,126.9147629,1,2021-09-08,,
관악구,AF005 1-1R 대학동 205-1 일대(관악산 모험숲),방범,37.4626973,126.948546,1,2021-09-08,,
관악구,A9009 1-1R 미도공원 (난향동 675-200와 675-211),방범,37.46269776,126.9153715,1,2021-09-08,,
관악구,S0009 1-4RXC 난향초교(난향동 672와 673-15),방범,37.46272711,126.9176716,1,2021-09-08,,
관악구,DA010 3-4S 삼성동 320-14,방범,37.4627275,126.930621,1,2021-09-08,,
관악구,D2012 4-5S 난향동 675-98,방범,37.46272791,126.9154807,1,2021-09-08,,
관악구,DG049 1-2S 난향동 675-218,방범,37.46273919,126.9146761,1,2021-09-08,,
관악구,AF004 1-1R 대학동 205-1 일대(관악산 모험숲),방범,37.46273998,126.9480346,1,2021-09-08,,
관악구,S0009 4-4UC 난향초교(난향동 672와 673-15),방범,37.46274055,126.9178032,1,2021-09-08,,
관악구,D2012 3-5S 난향동 675-98,방범,37.46274953,126.9157162,1,2021-09-08,,
관악구,S0009 3-4UC 난향초교(난향동 672와 673-15),방범,37.46276757,126.9175684,1,2021-09-08,,
관악구,D2012 1-5R 난향동 675-98,방범,37.46283034,126.9155849,1,2021-09-08,,
관악구,DC013 2-4S 난향동 668-4,방범,37.4628917,126.9189352,1,2021-09-08,,
관악구,D2012 2-5S 난향동 675-98,방범,37.46289793,126.9157205,1,2021-09-08,,
관악구,D2012 5-5S 난향동 675-98,방범,37.46292366,126.9154412,1,2021-09-08,,
관악구,P1075 2-3SC 난향동 673-85와 676-48,방범,37.46294892,126.9169776,1,2021-09-08,,
관악구,P1075 3-3SC 난향동 673-85와 676-48,방범,37.46295274,126.9173185,1,2021-09-08,,
관악구,DC013 3-4S 난향동 668-4,방범,37.46298636,126.9187825,1,2021-09-08,,
관악구,P1075 1-3RXCL 난향동 673-85와 676-48,방범,37.4629945,126.9171597,1,2021-09-08,,
관악구,DC013 1-4RX 난향동 668-4,방범,37.46301504,126.9189014,1,2021-09-08,,
관악구,A9008 1-1R 미도공원 (난향동 675-200와 675-199),방범,37.46302346,126.9151922,1,2021-09-08,,
관악구,D2013 2-5S 난향동 676-15,방범,37.46302886,126.9185203,1,2021-09-08,,
관악구,D2013 3-5S 난향동 676-15,방범,37.46307257,126.9183856,1,2021-09-08,,
관악구,DC013 4-4S 난향동 668-4,방범,37.46312411,126.9189057,1,2021-09-08,,
관악구,D2013 1-5R 난향동 676-15,방범,37.46316475,126.9185246,1,2021-09-08,,
관악구,AB013 1-1R 생태체험길 입구 (삼성동 산68-2),방범,37.46319264,126.9337484,1,2021-09-08,,
관악구,DB052 4-4SC 난향동 676-27,방범,37.46324611,126.9180493,1,2021-09-08,,
관악구,D2013 5-5S 난향동 676-15,방범,37.46325064,126.9186344,1,2021-09-08,,
관악구,DG015 3-4S 난향동 675-179,방범,37.46325282,126.9174639,1,2021-09-08,,
관악구,DB052 3-4S 난향동 676-27,방범,37.46325724,126.9179881,1,2021-09-08,,
관악구,D2013 4-5S 난향동 676-15,방범,37.46326749,126.9184381,1,2021-09-08,,
관악구,DB052 1-4R 난향동 676-27,방범,37.46327738,126.9180206,1,2021-09-08,,
관악구,DG015 1-4R 난향동 675-179,방범,37.46329161,126.9175252,1,2021-09-08,,
관악구,DB052 2-4S 난향동 676-27,방범,37.4633011,126.9180632,1,2021-09-08,,
관악구,A2024 1-1R 배수지공원(삼성동 1713-6),방범,37.46331438,126.9272212,1,2021-09-08,,
관악구,DG015 4-4S 난향동 675-179,방범,37.46332026,126.917591,1,2021-09-08,,
관악구,C3017 1-1R 삼성동 315와 1724사이,방범,37.46334496,126.9317162,1,2021-09-08,,
관악구,DG015 2-4S 난향동 675-179,방범,37.46335833,126.9174885,1,2021-09-08,,
관악구,DG066 4-4S 난향동 667-57,방범,37.46340046,126.9194625,1,2021-09-08,,
관악구,AF017 1-1R 삼성동 산68-2 (산책로입구 운동기구),방범,37.46345765,126.9333903,1,2021-09-08,,
관악구,DG066 1-4R 난향동 667-57,방범,37.46347255,126.919425,1,2021-09-08,,
관악구,DG066 3-4S 난향동 667-57,방범,37.4634744,126.9195132,1,2021-09-08,,
관악구,AB011 1-1R 관악산공원 (대학동 산32-23,야외식물원 주변 둘레길 입구),방범,37.46353082,126.948072,1,2021-09-08,
관악구,D3011 3-4S 난향동 675-123,방범,37.46353336,126.9168238,1,2021-09-08,,
관악구,DG066 2-4S 난향동 667-57,방범,37.46356433,126.9194227,1,2021-09-08,,
관악구,D3011 4-4S 난향동 675-123,방범,37.46356925,126.9170099,1,2021-09-08,,
관악구,D3010 1-2R 난향동 675-17,방범,37.46357766,126.914492,1,2021-09-08,,
관악구,D3011 1-4R 난향동 675-123,방범,37.46359063,126.916909,1,2021-09-08,,
관악구,YC004 1-1SL 대학동 255-182 ,방범,37.46362117,126.9361506,1,2021-09-08,,
