의류수거함,address,ID,lat,lng
난곡동-38,서울특별시 관악구 법원단지16길 1,77,37.4766954,126.9548079
난곡동-39,서울특별시 관악구 법원단지18길 13,78,37.4766954,126.9548079
난곡동-40,서울특별시 관악구 법원단지18길 30,79,37.4766954,126.9548079
난곡동-41,서울특별시 관악구 법원단지20길 28,80,37.4766954,126.9548079
난곡동-42,서울특별시 관악구 법원단지24길 26,81,37.4766954,126.9548079
난곡동-43,서울특별시 관악구 법원단지25길 17,82,37.4766954,126.9548079
난곡동-44,서울특별시 관악구 법원단지26길 25,83,37.4766954,126.9548079
난곡동-45,서울특별시 관악구 법원단지28길 26,84,37.4766954,126.9548079
난곡동-46,서울특별시 관악구 법원단지29길 22,85,37.4766954,126.9548079
난곡동-47,서울특별시 관악구 법원단지30길 14,86,37.4766954,126.9548079
난곡동-48,서울특별시 관악구 법원단지30길 27,87,37.4766954,126.9548079
난곡동-49,서울특별시 관악구 법원단지31길 16,88,37.4766954,126.9548079
난곡동-50,서울특별시 관악구 법원단지32길 28,89,37.4766954,126.9548079
난곡동-51,서울특별시 관악구 법원단지33길 11,90,37.4766954,126.9548079
난곡동-52,서울특별시 관악구 법원단지34길 3,91,37.4766954,126.9548079
난곡동-53,서울특별시 관악구 법원단지36길 1,92,37.4766954,126.9548079
난곡동-54,서울특별시 관악구 법원단지5가길 69,93,37.4766954,126.9548079
난곡동-55,서울특별시 관악구 법원단지5가길 84,94,37.4766954,126.9548079
난곡동-56,서울특별시 관악구 법원단지5가길 92,95,37.4766954,126.9548079
난곡동-57,서울특별시 관악구 법원단지5나길 28,96,37.4766954,126.9548079
난곡동-58,서울특별시 관악구 법원단지7길 18,97,37.4766954,126.9548079
난곡동-59,서울특별시 관악구 법원단지길 115,98,37.4766954,126.9548079
난곡동-60,서울특별시 관악구 법원단지길 130,99,37.4766954,126.9548079
난곡동-61,서울특별시 관악구 법원단지길 138,100,37.4766954,126.9548079
난향동-1,서울특별시 관악구 난곡로11길 33,101,37.4766954,126.9548079
난향동-2,서울특별시 관악구 난곡로11길 5,102,37.4766954,126.9548079
난향동-3,서울특별시 관악구 난곡로15길 14,103,37.4766954,126.9548079
난향동-4,서울특별시 관악구 난곡로9길 11 버스종점,104,37.4766954,126.9548079
난향동-5,서울특별시 관악구 난향10길 1,105,37.4766954,126.9548079
난향동-6,서울특별시 관악구 난향12길 3,106,37.4766954,126.9548079
